#{"t_start": 1574286455.248969, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-134.413132,84,1.024516
-244.359042,127,1.201159
-195.297206,95,1.328128
-377.508904,90,1.447939
-85.845104,104,1.588244
-419.867991,89,1.702782
-444.537031,79,1.807103
-384.801588,102,1.941346
-300.297612,92,2.061981
-270.737115,120,2.222553
-295.727455,93,2.344637
-211.364124,126,2.516253
-350.814682,94,2.640179
-113.116685,92,2.765791
-193.831282,95,2.890781
-168.715479,115,3.051993
-246.086029,129,3.227746
-27.772677,114,3.382362
-299.383466,84,3.49368
-258.390189,103,3.632276
-322.437442,82,3.739774
-480.526941,97,3.86969
-394.985268,93,3.993659
-478.781952,103,4.134132
-507.291035,179,4.392077
-103.177586,78,4.49365
-156.171847,102,4.630508
-217.716929,95,4.756198
-133.209742,164,4.984585
-31.721725,84,5.0971
-383.747083,179,5.357603
-378.968226,120,5.525168
-156.022962,92,5.649784
-411.452087,176,5.912023
-72.055328,110,6.060886
-295.67993,159,6.288739
-321.060887,137,6.489848
-408.337428,142,6.688987
-571.163613,176,6.937035
-226.954398,110,7.090419
-165.142123,254,7.497213
-298.044017,183,7.764285
-122.742092,173,8.015084
-278.086114,149,8.218125
-553.929853,162,8.44987
-10.890756,124,8.621513
-394.679895,262,9.038267
-234.271549,163,9.278446
-352.002721,159,9.519883
-78.155664,114,9.725777
-93.236272,112,9.885043
-222.041606,127,10.071606
-220.467596,124,10.282668
-791.260332,182,10.583266
-387.58982,264,11.129866
-411.075703,187,11.42108
-591.537986,181,11.69086
-580.763673,145,11.933096
-425.657209,199,12.283923
-597.070384,169,12.530327
-202.188475,189,12.832447
-189.160825,171,13.117254
-313.005068,189,13.408144
-33.555255,118,13.595998
-571.776579,231,13.955674
-191.439656,467,14.846846
-282.915839,175,15.088096
-229.877132,197,15.386562
20.198075,140,15.585368
2.806947,150,15.79985
-252.967932,202,16.096305
-449.998553,143,16.293397
-84.966061,145,16.509769
-131.695245,172,16.75715
-292.687741,135,16.954031
-418.715163,191,17.242802
-109.898291,201,17.540308
-113.078332,360,18.187294
-314.631626,181,18.46292
-502.125483,283,18.926299
-300.26111,193,19.224681
-388.554269,249,19.617609
-397.305127,368,20.303424
-441.469923,189,20.603176
-425.126293,201,20.903512
54.131793,1000,23.581218
-489.519659,194,23.866302
-270.668133,145,24.078601
-301.103755,158,24.315093
-453.023971,219,24.639824
-617.486128,184,24.940959
-550.013521,145,25.145679
-496.523745,190,25.430161
-376.218824,277,25.873366
-532.938122,261,26.303096
-616.043751,188,26.585335
-408.103527,227,26.947288
-685.420212,420,27.84232
-468.183253,256,28.251244
-358.24589,246,28.654998
-412.254349,229,29.012055
-388.355816,162,29.256456
-370.695624,156,29.532473
-734.823601,240,30.081313
