#{"t_start": 1574330833.571799, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-37.129775,150,2.131977
-179.854066,123,2.494014
-35.34666,95,2.716118
-325.837993,162,3.163737
-191.952411,171,3.53665
-256.525772,87,3.707261
-273.473701,162,3.990443
-12.144385,99,4.142048
-227.123288,98,4.300318
-300.544825,112,4.483275
-52.716778,151,4.753377
-499.483327,174,5.191816
-43.9468,134,5.428629
-83.677503,160,5.7693
-230.536035,151,6.041658
-294.489452,108,6.234481
-380.430169,92,6.393912
-494.141607,89,6.565305
-53.803696,85,6.758021
-192.651717,88,6.978535
-272.917697,142,7.281568
-116.53356,84,7.429242
24.398632,96,7.650061
-398.869784,83,7.789955
-99.402336,129,8.03111
-279.206517,138,8.337646
-411.598567,160,9.041083
-472.948537,138,9.544698
-379.779866,111,9.744562
-252.455224,100,10.045973
-516.753753,77,10.307816
-538.074291,104,10.599592
-544.590358,139,10.848735
-590.198222,147,11.091814
-457.426514,78,11.237713
-539.93671,128,11.48288
-403.377465,246,12.019657
-493.482856,116,12.253252
-393.82323,117,12.493388
-674.188575,142,12.78819
-416.855834,127,13.05989
-530.646385,135,13.331033
-216.048834,89,13.477334
-43.295549,115,13.710816
-367.034706,119,14.018289
-326.999509,143,14.322806
-424.782978,140,14.599846
-113.904886,172,14.883963
-344.042156,232,15.495154
-453.675876,171,15.893127
-249.650712,142,16.184057
-495.137313,257,16.776928
-32.531359,119,17.008016
-219.032509,266,17.708453
-75.90887,134,17.9902
-192.859359,153,18.257129
-239.836573,114,18.521804
-69.307115,104,18.755437
-298.016191,140,19.13859
-294.378682,156,19.522761
-350.655826,150,19.807145
-332.418982,139,20.211534
-368.02187,180,20.719513
-146.058321,115,20.960565
-289.997147,116,21.256541
-512.576276,182,21.629043
-540.700754,142,21.900902
-340.243713,149,22.258613
-488.089998,260,22.94689
-527.678527,144,23.235053
-880.803221,200,23.745978
-337.581341,130,24.019869
-567.568063,227,24.471006
-479.926837,142,24.707102
-231.703204,105,24.979127
-618.177642,163,25.284893
-355.517329,168,25.592248
-529.695861,170,25.967846
-389.088469,106,26.210324
-350.470958,103,26.458448
-679.387342,182,26.903648
-495.296677,150,27.242244
-461.979324,137,27.547227
-121.240209,104,27.744601
-237.438195,237,28.282684
-366.054337,136,28.622073
-373.340135,144,28.924038
-647.372699,136,29.23364
-435.279994,182,29.60482
-465.932966,138,29.902006
-556.929501,260,30.499372
-413.881035,200,30.872623
