#{"t_start": 1574150238.243259, "env_id": "BipedalWalker-v2"}
r,l,t
-108.634673,58,0.905185
-108.124107,71,1.281751
-114.127858,1600,3.622891
-123.870387,112,3.790667
-123.328575,1600,6.110546
-109.658963,1600,8.441263
-117.296248,92,8.584691
-121.993356,1600,10.888757
-106.93772,98,11.040259
-122.85118,127,11.224979
-100.975739,1600,13.446287
-110.216819,74,13.569551
-90.158728,1600,15.776567
-117.171636,95,15.925243
-115.029783,49,16.017539
-117.781549,208,16.278874
-108.088181,45,16.364757
-115.521,53,16.439334
-109.481892,70,16.523361
-115.739928,43,16.606726
-118.030041,55,16.672115
-136.93377,278,17.055496
-113.423339,73,17.172558
-125.039996,129,17.35078
-119.798943,147,17.558942
-121.555563,115,17.724508
-128.527378,142,17.925369
-122.22394,142,18.124397
-118.39622,85,18.253663
-121.165804,96,18.398259
-117.670667,49,18.460117
-117.935999,75,18.586383
-114.510991,152,18.786534
-120.436063,78,18.881176
-125.610102,139,19.122591
-128.162527,153,19.327255
-114.621215,39,19.374373
-123.63904,101,19.533005
-116.849538,81,19.628624
-118.77167,79,19.75241
-116.47635,125,19.935961
-118.430206,56,20.003154
-114.166982,80,20.125517
-116.602859,65,20.234545
-115.208042,61,20.310321
-117.477372,58,20.41574
-111.365,80,20.511873
-118.839894,53,20.60498
-112.983497,57,20.67516
-116.226362,50,20.734754
-116.864107,65,20.842039
-117.879887,71,20.934663
-113.462207,74,21.057839
-125.216728,101,21.211823
-116.381801,46,21.26711
-117.764275,69,21.380269
-125.456992,131,21.572562
-116.79243,62,21.647857
-116.899379,77,21.767692
-110.394262,56,21.833891
-113.029314,68,21.956883
-114.22968,40,22.006941
-121.541324,131,22.189316
-113.403347,51,22.281876
-114.175739,81,22.379727
-116.800053,65,22.498257
-112.186142,53,22.562691
-116.724233,50,22.653435
-120.618791,108,22.776576
-123.26804,152,23.029085
-114.267834,96,23.140959
-119.171804,103,23.29274
-114.423437,66,23.408182
-118.569628,97,23.525124
-113.585058,67,23.638788
-108.038384,39,23.689197
-112.073843,57,23.790408
-107.973798,70,23.873738
-111.051518,50,23.975888
-116.815391,65,24.055224
-130.673129,174,24.283092
-116.141495,54,24.378844
-121.166597,96,24.530846
-108.823058,124,24.705112
-111.95259,48,24.765723
-118.508116,73,24.884195
-113.856838,52,24.958963
-112.66792,94,25.0983
-121.506626,95,25.210666
-113.896467,78,25.331551
-104.528607,66,25.448405
-115.245836,87,25.552797
-111.106058,64,25.659252
-111.143082,60,25.730047
-103.698141,88,25.864711
-116.29296,142,26.066961
-121.857628,93,26.20896
-116.741874,67,26.289658
-113.422912,51,26.381567
-110.312855,87,26.489298
-116.241395,82,26.618545
-117.790763,83,26.748242
-114.847126,65,26.827882
-116.294578,67,26.949728
-121.737599,103,27.070479
-116.52809,70,27.186154
-119.080075,102,27.332587
-120.877855,84,27.441038
-112.027086,69,27.552623
-120.294456,133,27.740195
-115.878177,62,27.844419
-118.954305,81,27.945411
-114.504958,66,28.057767
-115.539176,69,28.139912
-108.409455,61,28.242341
-117.943079,42,28.293627
-123.122764,136,28.48858
-114.965651,134,28.675768
-112.965354,60,28.777672
-109.795936,108,28.905274
-111.391062,59,29.008598
-108.560256,61,29.083121
-119.129079,47,29.170868
-105.503655,79,29.264113
-110.574374,104,29.417981
-113.978797,59,29.521071
-107.598123,87,29.625809
-118.29315,81,29.754006
-107.510083,71,29.839125
-116.69908,70,29.960435
-117.374875,72,30.077847
-119.560704,99,30.194712
-113.493547,56,30.293275
-117.224266,81,30.390462
-116.492164,67,30.508575
-110.421461,65,30.58681
-118.809076,110,30.744855
-111.295996,58,30.844891
-110.267881,71,30.935538
-122.311546,108,31.09424
-118.472272,105,31.247713
-113.981481,66,31.365627
-119.033155,83,31.471627
-105.439118,125,31.647241
-111.480167,58,31.748248
-116.503057,55,31.813523
-107.946108,47,31.871396
-109.496113,69,31.990998
-120.533702,110,32.151024
-107.09179,75,32.239252
-108.426653,58,32.340924
-115.001216,65,32.424898
-114.571814,59,32.528493
-108.473561,63,32.602733
-116.417752,83,32.732512
-113.117018,106,32.885063
-107.130969,82,32.989832
-115.038753,50,33.082858
