#{"t_start": 1574314926.369662, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-277.996694,112,0.854111
-206.020558,180,1.340775
-112.895798,80,1.416552
-61.01697,165,1.645468
-369.685553,103,1.744525
-429.830661,87,1.855035
-402.87202,89,2.005659
-315.510594,86,2.134278
-250.442851,90,2.221244
-281.694049,121,2.368285
-643.212339,130,2.52441
-397.784048,86,2.635434
-174.919896,119,2.782132
-174.003619,99,2.906803
-82.222356,125,3.064185
-42.546275,75,3.134413
-508.348553,169,3.339027
-326.996575,112,3.477448
-294.439124,118,3.626351
-346.322559,93,3.74422
-365.198762,111,3.883633
-98.544544,141,4.058195
-455.719597,76,4.159089
-178.566384,92,4.247306
-23.488016,151,4.430925
-187.463405,122,4.578188
-63.4703,115,4.723756
-56.304397,124,4.877019
-222.031204,130,5.037851
-173.652539,135,5.20262
-338.347182,141,5.375133
-459.901729,135,5.536979
-240.082789,140,5.735336
-261.43804,127,5.892063
-61.202234,105,5.995972
-50.845422,72,6.094323
-307.288131,184,6.318144
-82.538475,86,6.428216
-125.818062,148,6.607225
-59.508933,99,6.732146
-301.363518,123,6.884829
-508.952294,139,7.055735
-288.199316,158,7.255722
-268.62225,149,7.443105
-60.636955,95,7.566413
-203.315465,153,7.750073
-461.698819,131,7.909731
-61.843394,82,8.01797
-137.24651,129,8.171241
-135.99008,129,8.32675
-181.54267,201,8.598617
-266.30941,185,8.835933
-64.37659,164,9.035766
-354.646952,127,9.186941
-99.559713,94,9.307579
-89.927842,101,9.43374
-68.631219,129,9.590628
-91.756461,93,9.709417
-49.579814,102,9.807354
-350.957321,95,9.927341
-161.850976,187,10.184729
-112.525022,99,10.280315
-288.332131,145,10.491305
-156.202467,141,10.660522
-159.455706,98,10.754375
-68.657928,76,10.853396
-319.747951,144,11.034016
-162.415749,140,11.206562
-164.91415,122,11.36147
-227.605894,111,11.500896
-85.365124,135,11.665191
-82.459567,96,11.78739
-175.10701,224,12.093283
-358.198629,186,12.323408
-66.735462,96,12.446394
-98.849387,83,12.523867
-198.246495,111,12.660682
-65.320175,103,12.788589
-164.842577,101,12.912366
-279.518742,194,13.149791
-175.401415,132,13.309165
-59.947407,88,13.424328
-55.594138,79,13.528706
-157.807971,177,13.742598
-103.036983,174,13.949875
-265.681724,197,14.224844
-70.900805,142,14.396931
-262.087568,142,14.570064
-187.233034,99,14.696404
-106.989747,108,14.824371
-149.572302,158,15.014836
-96.938602,146,15.18957
-197.64182,226,15.508873
-263.804256,149,15.691306
-269.321261,157,15.883227
-202.557723,112,16.025442
17.959064,104,16.159279
-147.248039,141,16.33623
-169.031961,159,16.526525
-47.502019,80,16.635161
-20.082664,155,16.828878
-94.616844,119,16.978414
-68.855056,73,17.076218
-104.164657,195,17.314836
-72.716956,1000,19.843422
-438.311014,201,20.128937
-48.568714,165,20.329301
-160.321069,275,20.729194
-328.381481,201,21.008059
-50.744305,186,21.249133
-14.785666,156,21.456608
-87.753861,110,21.597193
-191.789112,115,21.743431
-329.029717,228,22.095192
-300.703471,156,22.309623
8.757292,1000,25.761345
-39.937749,108,25.902212
-50.895156,123,26.055969
-95.526625,102,26.18563
-84.186375,151,26.371737
-207.964109,182,26.605363
-210.608904,177,26.828311
-270.82161,224,27.151342
-226.161466,166,27.392437
-65.337533,139,27.571955
-92.875204,211,27.841805
-85.105301,245,28.187157
-126.9007,133,28.352761
-54.224119,140,28.52913
-186.863504,252,28.897514
-155.895685,221,29.20729
-116.691481,164,29.410263
-385.233595,87,29.527188
-353.960811,382,30.178512
-97.382521,105,30.311426
-119.537275,128,30.47247
-358.577444,202,30.733559
-6.378812,112,30.881794
-51.155577,200,31.169935
3.794572,152,31.365636
-71.261176,183,31.609885
