#{"t_start": 1574123003.390601, "env_id": "BipedalWalker-v2"}
r,l,t
-102.324206,83,1.09851
-111.422075,46,1.186734
-105.884745,65,1.316004
-104.252574,81,1.497232
-104.616945,102,1.718146
-101.487584,69,1.838392
-181.086461,837,3.237209
-107.668289,1600,5.812967
-107.516511,90,5.959369
-113.824227,66,6.066398
-112.97855,57,6.164013
-116.857553,1600,8.802366
-113.173476,66,8.910698
-114.977582,86,9.048666
-105.403595,99,9.209617
-111.61726,58,9.304393
-116.733231,74,9.426399
-86.417871,1600,11.913175
-111.41889,72,12.032384
-111.925708,61,12.131459
-107.969883,46,12.206428
-106.486083,56,12.298386
-178.485849,1119,14.082367
-110.199492,50,14.17581
-108.799504,75,14.313848
-102.601171,1600,16.805331
-112.130515,116,16.987432
-105.334213,92,17.13608
-97.11665,1600,19.624757
-116.808021,1600,22.196081
-97.587103,1600,24.641637
-103.518602,1600,27.167883
-97.167466,1600,29.647324
-79.194795,1600,32.10116
-83.214765,1600,34.569284
-103.430594,73,34.686732
-80.884885,1600,37.167735
-113.800475,175,37.44229
-153.142489,1231,39.327453
-166.385825,1457,41.55402
-102.549466,57,41.646043
-98.881793,71,41.758936
-103.965293,66,41.867028
-78.359344,1600,44.325367
-101.246689,114,44.502053
-116.293394,61,44.601812
-110.597094,68,44.707798
-103.654323,83,44.844118
-77.939238,1600,47.291198
-118.822739,76,47.411535
-115.715145,83,47.547221
-102.663421,130,47.752171
-104.614831,58,47.856126
-103.827256,90,48.023336
-105.455048,45,48.108908
-101.674693,257,48.52622
-118.868549,692,49.591978
-115.956149,375,50.169165
-101.877968,145,50.396831
-100.215744,86,50.532873
-108.290735,152,50.772347
-118.096404,294,51.238751
-109.451426,40,51.304822
-95.078137,162,51.56058
-96.894809,93,51.705091
-100.384437,68,51.815358
-100.424492,72,51.928857
-117.740423,500,52.700992
-101.284911,108,52.873411
-98.807173,85,53.009447
-111.289496,422,53.679554
-113.88755,564,54.560226
-104.300094,64,54.662244
-104.736882,71,54.777759
-99.371939,184,55.066911
-102.084883,62,55.164124
-103.708253,65,55.26756
-102.413729,65,55.371883
-104.848517,72,55.487615
-103.650385,131,55.693147
-100.662745,80,55.819212
-103.737911,95,55.973108
-100.057681,69,56.086855
-103.53374,60,56.18417
-107.210577,120,56.374169
-104.340788,70,56.485638
-104.020554,63,56.587527
-101.695553,64,56.69308
-102.442656,114,56.878047
-101.294605,78,57.006044
-102.430553,64,57.11138
-115.453303,59,57.209786
-104.094725,73,57.328577
-102.187265,85,57.467228
-102.703664,73,57.582022
-103.742088,63,57.690708
-104.209739,53,57.779469
-101.00436,77,57.901898
-102.59618,145,58.131742
-107.369369,90,58.277589
-98.954642,99,58.442843
-98.991954,81,58.575234
-102.924079,105,58.749167
-102.696606,100,58.919286
-100.486151,95,59.070963
-106.403888,72,59.198083
-120.84994,98,59.381287
-104.182723,48,59.469102
-99.059595,150,59.714709
-106.045772,230,60.072383
-109.568314,82,60.20757
-111.570334,168,60.475034
-104.500137,44,60.546189
-105.927789,277,60.978943
-116.665153,332,61.493356
-103.729793,97,61.647177
-99.053829,107,61.820607
-112.32809,237,62.190507
-104.017051,103,62.357709
-105.361964,77,62.478995
-101.529922,149,62.712602
-101.111246,142,62.938857
-109.425975,102,63.098228
-97.571656,77,63.221138
-104.058092,69,63.329911
-98.480401,117,63.517574
-114.413229,217,63.870836
-99.957969,101,64.0304
-102.756761,94,64.180357
-100.454982,72,64.2988
-100.923108,79,64.426886
-103.177522,145,64.658076
-117.948343,138,64.892183
-118.771355,116,65.104572
-109.715392,109,65.29093
-103.403423,92,65.439249
-101.619506,108,65.617202
-101.569133,91,65.763392
-99.858376,61,65.861061
-114.606108,167,66.125561
-105.453221,68,66.235008
-105.370224,73,66.353108
-102.724381,96,66.504857
-103.914479,156,66.750864
-109.880815,44,66.826275
-104.541026,184,67.120822
-106.98866,106,67.288924
-99.986539,69,67.401103
-107.377262,105,67.566356
-103.920545,167,67.830665
-107.046061,95,67.983417
-107.404777,41,68.04933
-106.617131,79,68.175687
-110.682668,120,68.363376
-103.195413,103,68.526867
-105.638174,154,68.768884
-100.573119,84,68.905288
-117.367301,100,69.063457
-116.10104,89,69.20633
-109.380651,101,69.365332
-97.728931,118,69.553497
-101.412798,77,69.673915
-104.586689,60,69.774178
-114.340079,292,70.228179
-102.902904,85,70.360781
-99.170385,95,70.518185
-107.011006,85,70.678417
-105.588938,95,70.854602
-109.914986,53,70.941144
-117.29207,85,71.074222
-112.087512,351,71.61651
-107.846211,154,71.858879
-101.271526,90,71.999776
-102.033695,134,72.207061
-106.227557,88,72.347152
-101.082285,79,72.47361
-103.470358,74,72.591386
-107.877473,91,72.739818
-110.227694,89,72.879008
-103.433839,79,73.004769
-105.054399,96,73.156588
-104.942962,76,73.278972
-106.575897,50,73.361598
-106.950814,83,73.493875
-113.641169,58,73.58996
