#{"t_start": 1574138854.3384802, "env_id": "BipedalWalker-v2"}
r,l,t
-104.971866,54,1.497362
-90.082869,1600,8.477365
-112.488435,54,8.711338
-115.280383,73,9.021617
-89.717097,1600,15.651934
-112.164912,56,15.891621
-112.947082,51,16.112116
-72.392874,1600,22.778647
-105.557645,107,23.230968
-107.974516,1600,29.951747
-206.313765,1350,35.605843
-117.360999,1600,42.24212
-127.603477,125,42.769054
-108.202845,61,43.028989
-119.321257,68,43.319583
-129.71598,171,44.09756
-112.251685,40,44.269934
-107.314095,64,44.543077
-107.622915,51,44.763882
-112.524773,113,45.240176
-106.275571,93,45.637399
-106.644781,69,45.929961
-120.994943,69,46.220674
-111.384159,89,46.597758
-134.810324,1600,53.332216
-108.383041,68,53.62106
-111.090819,77,53.949878
-114.766736,78,54.28355
-114.666859,74,54.598377
-108.824746,73,54.907773
-206.975086,1163,59.753008
-111.182828,117,60.247113
-108.358191,53,60.473466
-123.021783,77,60.796769
-117.335161,64,61.068405
-123.896757,76,61.390702
-108.943396,69,61.685869
-133.963184,114,62.166199
-109.448123,48,62.369669
-124.953852,114,62.850875
-107.982378,50,63.068743
-114.244865,63,63.340285
-114.876789,66,63.626727
-113.633739,66,63.912464
-116.935737,65,64.191368
-117.067757,67,64.477126
-116.622385,65,64.753507
-116.73573,64,65.023935
-117.20214,68,65.311946
-118.376523,70,65.606488
-109.610749,108,66.062344
-117.126164,67,66.346852
-118.748816,68,66.636337
-123.857283,131,67.190739
-133.843128,94,67.600469
-124.145052,73,67.919487
-123.718992,72,68.231428
-126.116976,76,68.554306
-105.384249,85,68.913771
-108.865117,52,69.135769
-97.014047,80,69.476408
-117.892151,62,69.740483
-112.983377,86,70.103778
-121.305611,67,70.389988
-109.439788,107,70.846124
-110.319705,164,71.541024
-117.997486,52,71.766883
-143.432858,527,74.020735
-104.168907,114,74.511424
-212.215474,1280,80.043024
-128.141879,112,80.519148
-127.277108,112,80.995382
-126.493277,98,81.411636
-130.18004,118,81.91297
-139.191097,227,82.872322
-146.26333,307,84.178556
-109.792118,65,84.461544
-119.739913,81,84.809696
-110.208317,97,85.22392
-220.376105,1190,90.275056
-114.945178,38,90.439907
-116.281704,57,90.682717
-119.83465,78,91.01622
-118.912993,70,91.313658
-114.012837,58,91.56514
-113.727938,52,91.79223
-117.796495,40,91.966812
-115.303784,56,92.206493
-114.841563,41,92.383565
-116.044901,68,92.674597
-114.873153,67,92.965712
-116.851734,39,93.136345
-116.068136,38,93.303613
-115.825402,93,93.696363
-239.643058,1331,99.243811
-125.43405,83,99.59592
-114.986438,1600,106.394088
-125.944629,1600,113.207657
-123.435495,112,113.691808
-134.345462,277,114.863278
-122.242087,263,115.992907
-117.315577,73,116.305489
-200.162311,1039,120.682322
-130.048466,171,121.408086
-121.953008,88,121.782839
-113.087049,60,122.040412
-114.939471,56,122.283039
-106.324308,113,122.769435
-115.202528,1600,129.604456
-122.407859,114,130.090679
-142.551207,201,130.939446
-126.941541,161,131.618737
-129.731574,186,132.402517
-150.650304,314,133.718936
-216.135849,1552,140.220052
-103.084544,1600,147.013691
-85.576026,1600,153.877099
-116.836147,1600,160.715658
-159.578113,990,164.90336
-83.871983,1600,171.766232
-91.46259,1600,178.518852
-84.814515,1600,185.260479
-92.317424,1600,192.016218
-90.453799,1600,198.755182
-81.68139,1600,205.498401
-84.367195,1600,212.23564
-79.152899,1600,218.991927
-126.718681,102,219.429398
-69.009856,1600,226.166936
-73.48529,1600,232.920414
-56.080338,1600,239.648262
-125.997189,122,240.166026
-124.094774,91,240.550802
-67.929315,1600,247.364072
-76.260656,1600,254.152304
-87.437361,1600,260.936783
-91.636722,1600,267.716281
-95.360709,1600,274.457045
-104.786205,107,274.912865
-103.252301,173,275.647675
-94.066525,1600,282.458178
-123.4899,77,282.790447
-100.419852,1600,289.587476
-98.927052,1600,296.371955
-89.582098,1600,303.266729
-94.360076,1600,310.089874
-99.938768,1600,316.934261
-149.914296,323,318.317412
-136.75583,173,319.060188
-96.829425,1600,325.911812
-98.493432,1600,332.703729
-88.580393,1600,339.555586
-109.859325,89,339.946363
-95.335291,1600,346.815544
-93.764505,1600,353.605116
-104.769409,95,354.008824
-103.199442,1600,360.768815
-140.553041,162,361.458378
-114.36658,135,362.037311
-102.806674,1600,368.816235
-98.8164,83,369.178314
-103.915835,90,369.565127
-103.741027,68,369.864026
-102.272707,66,370.151211
-99.904536,73,370.469327
-104.916096,64,370.749097
-101.762809,50,370.970244
-103.936701,65,371.254389
-129.804652,1600,378.23069
-121.923888,57,378.474819
-111.26654,41,378.652754
-132.858801,1600,385.483696
-102.775944,58,385.741142
-103.964256,57,385.992049
-104.499087,62,386.259139
-101.689531,53,386.489422
-103.381475,50,386.706664
-101.457076,54,386.945286
-126.411001,1600,393.697819
-120.821687,70,394.002031
-109.273695,71,394.309247
-105.227606,1600,401.049284
-114.768395,81,401.399021
-102.390861,1600,408.332677
-107.463907,90,408.73546
-151.661082,1600,415.576468
-113.794034,1600,422.404326
-98.121473,1600,429.217214
-99.467626,1600,435.997035
