#{"t_start": 1574103375.900216, "env_id": "MountainCarContinuous-v0"}
r,l,t
-33.728016,999,5.19258
-35.041658,999,8.858126
-32.255812,999,12.530885
-32.397449,999,16.193692
-29.384285,999,19.850424
-30.826593,999,23.511293
-30.697236,999,27.202354
-28.48911,999,30.882278
-25.954929,999,34.55783
-21.539448,999,38.234963
-18.782434,999,41.977769
-16.47143,999,45.634898
-11.24469,999,49.263337
-9.032281,999,52.889938
-7.430367,999,56.518753
-5.15972,999,60.142701
-4.765891,999,63.820999
-5.587235,999,67.49585
-4.771646,999,71.165614
-4.006517,999,74.844032
-3.58321,999,78.506791
-3.025881,999,82.154996
-2.82044,999,85.788636
-1.632853,999,89.434857
-0.624252,999,93.06826
-0.885021,999,96.700797
-1.533072,999,100.339443
-1.650589,999,104.003059
-1.310772,999,107.664353
-1.340839,999,111.321839
98.048683,600,113.519648
96.953072,551,115.521415
94.193169,534,117.46755
96.799824,527,119.380754
91.514146,396,120.814483
88.490209,462,122.494819
85.569244,427,124.05083
78.76866,475,125.790527
-2.630501,999,129.42176
76.282745,938,132.837362
-2.72727,999,136.473597
-2.401375,999,140.10459
82.966971,529,142.039604
90.688061,353,143.336269
91.26692,311,144.474329
89.043009,447,146.115285
88.716347,362,147.441846
89.839621,429,149.023108
93.06916,233,149.871548
89.742222,341,151.11516
89.556934,265,152.080953
94.31535,228,152.920106
91.083058,285,153.965835
92.993337,211,154.753382
92.478025,208,155.526394
94.808778,197,156.279473
89.963317,277,157.298015
92.306314,206,158.051366
92.343597,209,158.835268
88.419636,312,159.98722
89.172996,364,161.342653
88.442395,223,162.159153
88.371326,224,162.979014
94.940549,119,163.41686
83.801923,544,165.411321
94.275045,113,165.837514
90.412039,258,166.788743
89.781224,247,167.694
89.986348,185,168.371103
93.683351,108,168.767666
86.556362,318,169.932866
85.627346,310,171.073569
87.636518,244,171.974171
90.144835,182,172.64191
86.555096,253,173.57484
92.655931,114,173.993536
85.129832,270,174.982712
92.762382,118,175.414746
92.793257,114,175.832815
81.535328,337,177.074158
84.552158,277,178.090434
89.294318,185,178.768622
90.622915,144,179.296361
92.293772,121,179.742131
92.268223,116,180.168446
91.144448,131,180.649213
83.403661,276,181.662923
88.5613,191,182.362691
92.299793,122,182.812909
92.363378,118,183.255163
92.493118,118,183.687455
88.603607,192,184.39584
88.698458,194,185.127317
87.469862,194,185.848465
92.792458,121,186.292768
92.43139,124,186.749594
93.29373,122,187.199125
92.274124,126,187.663326
93.170471,125,188.123372
92.242002,130,188.602916
91.501757,133,189.093844
93.011738,126,189.554596
88.311744,204,190.31121
92.659824,123,190.763358
88.479884,203,191.509199
88.065181,174,192.149466
87.322076,201,192.88847
88.626433,166,193.49449
92.274875,125,193.953154
92.845049,122,194.400502
92.803749,123,194.850775
92.767322,123,195.300406
92.566957,126,195.76318
92.745997,125,196.222146
92.873912,126,196.68242
92.458948,122,197.128073
92.534288,122,197.574474
92.478899,121,198.017759
92.729735,127,198.481599
92.563828,122,198.928291
92.43173,124,199.380418
92.258168,121,199.822953
92.71472,123,200.272776
92.462119,121,200.715819
90.284775,148,201.25797
92.867613,116,201.681409
92.233983,129,202.152318
92.578992,125,202.610736
92.367529,121,203.05312
93.042594,117,203.481493
92.501199,125,203.93861
92.793453,118,204.369591
92.558573,122,204.815527
92.414021,125,205.271354
92.934238,120,205.709381
92.446017,122,206.161448
92.801629,121,206.609908
92.672353,121,207.056669
92.577975,122,207.50642
92.530233,121,207.951509
93.217216,120,208.39116
92.595305,119,208.833783
93.123246,116,209.258745
92.346995,124,209.715402
93.104532,118,210.147979
92.459269,123,210.600921
92.929686,118,211.031631
90.228726,186,211.711161
92.516134,120,212.151498
92.983776,115,212.574661
92.324895,124,213.027989
90.366588,178,213.680277
89.694375,192,214.380738
92.954803,114,214.798488
92.386318,120,215.234848
89.794836,187,215.917917
93.233361,115,216.337551
92.543705,118,216.766576
89.299968,217,217.554521
92.950703,114,217.970632
92.193158,117,218.398239
93.124232,113,218.811754
93.185142,110,219.234192
92.014736,123,219.682638
92.560761,114,220.09924
91.867329,117,220.531136
92.267209,150,221.074787
92.992357,111,221.499901
93.532566,114,221.918751
91.843705,119,222.352435
93.10367,120,222.792733
93.571909,114,223.208256
91.724703,118,223.637978
93.707936,105,224.020831
93.820478,102,224.397165
91.498466,115,224.817946
91.615926,135,225.309937
92.275052,112,225.717202
92.027185,118,226.146894
91.225934,115,226.567116
91.263049,119,227.00102
94.723582,79,227.286418
91.950803,132,227.766183
94.740702,78,228.051558
90.642859,146,228.583533
87.77464,178,229.230186
94.532628,81,229.526962
90.231386,159,230.11083
94.548898,83,230.412847
-32.237293,999,234.052097
92.44208,113,234.468148
90.551032,167,235.081836
91.189637,160,235.665345
94.263493,90,235.994908
-39.483735,999,239.655128
-42.095971,999,243.305288
-46.511374,999,246.95937
-52.408075,999,250.610341
-52.683906,999,254.254871
-55.524142,999,257.893454
-59.933924,999,261.597134
73.578449,343,262.850134
93.801234,92,263.188306
93.302696,100,263.572829
92.231115,104,263.994371
93.007633,96,264.387153
91.935771,105,264.821279
93.45702,91,265.156372
93.691403,94,265.508593
92.261472,102,265.885743
94.10992,86,266.206207
93.435297,90,266.672212
93.595892,93,267.015662
92.865192,92,267.354283
94.262942,82,267.656993
94.497152,86,267.987365
92.930382,91,268.328747
92.920437,92,268.69735
94.315082,79,269.021128
93.617186,90,269.385622
93.003174,90,269.719358
94.060899,82,270.016127
93.359908,88,270.374414
92.956557,83,270.679824
94.186901,86,270.995937
92.732588,92,271.33627
93.553188,83,271.662504
93.285957,85,272.005001
94.406914,82,272.370712
93.636587,89,272.716401
93.951556,82,273.018941
94.213945,82,273.325183
93.041569,85,273.653473
93.352546,87,273.987192
93.067671,86,274.305821
93.309583,84,274.617266
93.858633,82,274.919029
93.798948,85,275.232785
94.68346,79,275.52319
94.127778,80,275.816647
94.455004,80,276.10989
94.361719,83,276.412801
94.131255,80,276.706983
94.40875,81,277.005444
93.492018,85,277.319112
94.545217,78,277.607434
93.915014,87,277.927007
94.032092,78,278.214107
94.316128,78,278.504681
94.568227,75,278.787611
94.343147,77,279.072692
93.881006,80,279.366613
94.358878,79,279.656493
93.656461,83,279.962955
94.372535,77,280.255756
94.314916,77,280.546512
94.355129,79,280.835482
94.602154,75,281.109671
94.720646,75,281.38401
94.140748,80,281.678561
94.317278,77,281.961443
94.411292,73,282.231284
93.733335,81,282.528376
94.166312,80,282.82681
93.89185,81,283.12466
94.685296,72,283.387366
94.576728,76,283.667763
93.793131,82,283.968992
94.120375,80,284.271962
93.793292,80,284.574668
94.382471,73,284.843732
94.644154,71,285.103323
94.404944,77,285.38456
94.491427,73,285.668501
94.511061,74,285.973513
94.800909,72,286.262165
94.655506,71,286.522044
94.504719,72,286.786112
93.955419,83,287.09155
93.861368,79,287.380945
94.646979,71,287.640312
94.402264,79,287.929764
94.791833,73,288.196113
93.750105,85,288.507473
94.196891,78,288.793266
94.907639,72,289.071369
94.755212,76,289.525858
94.654562,78,289.906922
94.530096,79,290.231805
92.542035,104,290.607504
94.240478,77,290.901226
94.865488,77,291.18341
94.375788,79,291.472293
94.325927,77,291.753904
94.061695,81,292.048345
94.8001,72,292.312224
94.479068,79,292.601264
94.593766,78,292.887058
94.794687,73,293.154109
93.954147,80,293.448772
94.76844,76,293.725656
95.038301,71,293.983913
95.071947,73,294.250634
94.703752,73,294.517489
94.378372,75,294.793427
94.133796,77,295.075656
94.71616,76,295.353244
93.889418,78,295.642198
94.677193,72,295.925365
95.063206,71,296.185326
94.522528,72,296.481825
94.493831,75,296.761218
94.657594,72,297.048142
95.039896,72,297.311325
95.077571,71,297.570212
94.925673,70,297.825946
94.683356,75,298.097124
93.647558,85,298.403808
94.02805,80,298.691179
94.605744,74,298.959392
94.48823,71,299.215131
93.257539,88,299.535208
94.288896,75,299.809375
94.039998,79,300.096726
90.975108,142,300.605683
94.812255,70,300.860187
94.924089,71,301.119669
94.924091,71,301.380797
95.046425,71,301.642008
93.195541,89,301.968059
94.571569,74,302.238943
94.619318,70,302.495511
94.882895,71,302.754877
89.853378,158,303.328288
94.074753,81,303.62374
94.985008,71,303.883009
94.954765,71,304.14219
94.804607,74,304.413196
94.636429,75,304.685972
92.788409,121,305.126981
95.111334,72,305.399614
94.975237,71,305.657277
90.110849,153,306.206398
90.634524,148,306.747448
94.984746,70,307.003454
95.070227,70,307.258591
94.978357,74,307.528551
95.305721,72,307.792813
94.86666,73,308.059601
93.371364,112,308.465953
94.032466,92,308.799987
94.020173,82,309.098493
94.9001,72,309.359659
92.629795,96,309.706117
93.408193,108,310.115309
93.145652,110,310.544823
93.715575,87,310.863348
94.40674,84,311.170898
92.843826,107,311.563723
94.905765,75,311.835447
93.667685,96,312.181859
93.196508,109,312.578652
94.203985,78,312.862856
94.939252,73,313.128913
94.760062,72,313.391511
95.178227,72,313.65413
92.18278,137,314.154001
94.878947,73,314.42268
92.655676,109,314.820652
94.668019,76,315.098598
94.930415,73,315.365898
95.001768,71,315.624022
94.860534,73,315.889601
95.008285,70,316.142161
94.882943,73,316.404744
94.711769,73,316.665321
94.958055,72,316.922496
94.984611,76,317.194757
95.203339,71,317.449655
92.532868,111,317.848729
95.093069,72,318.107364
95.084553,72,318.370093
94.965119,71,318.629912
95.148197,70,318.886191
95.207281,73,319.149966
95.343715,71,319.409144
95.055427,72,319.673204
94.272025,83,319.976032
94.895289,75,320.250091
94.901865,73,320.51714
93.310123,107,320.908483
94.913956,75,321.1883
94.792049,74,321.459138
94.745139,74,321.730317
95.112384,72,321.99263
94.780587,74,322.26452
