#{"t_start": 1574304691.2681699, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-58.642738,166,1.250402
-105.449861,184,1.474783
-339.289694,107,1.608677
-474.91512,142,1.78233
-108.655204,111,1.956517
-124.330301,95,2.08697
-120.016452,115,2.23558
-280.240314,95,2.329592
-151.281717,156,2.555057
-112.222626,173,2.771549
-224.745947,219,3.073679
-375.367863,89,3.16144
-228.499636,87,3.275092
-86.275831,98,3.402817
-328.777596,169,3.609586
-350.205425,96,3.733864
-329.997719,92,3.854722
-61.947981,74,3.925284
-35.528657,138,4.099244
-482.100893,166,4.332358
-184.958756,167,4.538888
-316.730977,133,4.702533
-147.693979,171,4.918777
-314.397925,100,5.043825
-137.733121,106,5.178595
-143.796199,74,5.24725
-71.478356,85,5.358533
-246.917823,97,5.482055
-539.836235,111,5.623206
-70.818722,133,5.786122
-214.990179,108,5.918419
-62.203719,84,5.998135
-293.788667,103,6.126138
-154.523271,124,6.27672
-306.00479,140,6.445596
-63.088948,90,6.561478
-330.165841,109,6.698573
-247.63594,95,6.784554
-118.851465,92,6.902902
-90.057179,86,7.015401
-124.878538,100,7.142215
-49.590619,137,7.314268
-309.542944,122,7.461936
-105.355508,80,7.53705
-78.942345,132,7.697681
-172.82954,135,7.863833
-51.010753,81,7.970163
-211.08239,148,8.149052
-338.321764,116,8.296074
-92.330546,120,8.443467
-219.078765,188,8.674392
-86.153542,83,8.78491
-190.279421,94,8.904962
-88.066103,170,9.109852
-356.198137,221,9.426592
-33.224652,83,9.535702
-343.59472,154,9.722961
-165.022617,134,9.888502
-132.91696,155,10.080175
-305.797567,193,10.343319
-175.260259,165,10.547543
-401.942898,154,10.734465
-53.544631,161,10.933528
23.590247,110,11.071745
-77.58359,79,11.176162
-206.69312,124,11.328181
-55.23074,82,11.405777
-209.521111,158,11.627153
-69.277164,103,11.728378
-135.661727,175,11.974277
-40.207851,84,12.053395
-303.245884,208,12.352712
-238.36649,127,12.511311
-83.16528,101,12.63779
-10.409098,149,12.82312
-200.952519,146,13.000034
-63.027397,150,13.183841
-80.984819,89,13.297515
