#{"t_start": 1574115567.321596, "env_id": "BipedalWalker-v2"}
r,l,t
-108.137206,1600,3.536105
-100.525385,51,3.623125
-103.124616,1600,6.146154
-108.880276,57,6.235534
-107.648378,83,6.365888
-113.508518,82,6.492624
-111.582664,70,6.599847
-123.332896,1600,9.031615
-112.432383,53,9.116404
-105.511383,87,9.251532
-120.518671,121,9.438677
-200.378822,1068,11.060718
-131.714239,1600,13.413998
-140.582029,1600,15.747949
-116.547267,72,15.854197
-145.614449,1600,18.213758
-138.589436,1600,21.232208
-110.066731,1600,23.650975
-104.944824,1600,26.027283
-91.437459,1600,28.839734
-106.432498,83,28.981799
-88.151872,1600,31.525351
-106.213025,75,31.645107
-81.02172,1600,33.9985
-100.263667,118,34.199594
-106.935947,116,34.37664
-113.925901,371,34.940966
-107.101118,97,35.090859
-111.913295,130,35.287758
-116.297428,226,35.641327
-118.71705,343,36.167889
-107.758795,175,36.430907
-85.388105,1600,38.819875
-84.720019,1600,41.194499
-89.026759,1600,43.512711
-96.960182,1600,45.852525
-97.25464,1600,48.217682
-91.183714,1600,50.558671
-109.857417,1600,52.952163
-180.073874,1108,54.595057
-105.923962,83,54.717702
-105.455244,57,54.805016
-105.728642,67,54.905289
-104.521925,48,54.979949
-103.973984,55,55.06961
-108.543245,52,55.149484
-111.586047,120,55.32652
-101.633834,85,55.453806
-104.943076,44,55.522827
-120.528236,99,55.677004
-105.205988,43,55.743507
-105.31628,68,55.847861
-110.83617,104,56.00053
-103.27314,56,56.090298
-102.019796,1600,58.435094
-111.375682,1600,60.800942
-96.869474,1600,63.163215
-106.228732,77,63.276838
-112.01492,57,63.363887
-105.792823,1600,65.7174
-108.310926,86,65.844382
-96.974681,1600,68.193558
-107.757003,41,68.257253
-107.639663,43,68.323996
-102.284942,1600,70.672499
-105.248035,1600,73.036531
-104.236242,1600,75.379208
-116.991048,56,75.464554
-106.187012,87,75.599494
-110.077852,76,75.713621
-106.692169,45,75.782903
-103.721613,74,75.895435
-104.273612,71,76.001782
-106.27378,60,76.100173
-107.448589,39,76.162002
-102.9816,68,76.266483
-104.909567,1600,78.705588
-93.732588,1600,81.146352
-114.968193,65,81.248726
-112.194829,89,81.38668
-108.230846,52,81.4674
-107.49117,52,81.553102
-119.228301,111,81.726498
-109.85676,82,81.85342
-98.721787,1600,84.289063
-100.298754,1600,86.719636
-105.742778,1600,89.097241
-104.820416,56,89.183074
-92.634063,1600,91.553361
-88.569943,1600,93.910337
-89.76222,1600,96.267572
-156.029827,879,97.568867
-136.339673,494,98.303751
-117.764224,67,98.407795
-126.707391,527,99.190787
-106.122517,146,99.409431
-105.444397,127,99.605302
-109.630106,172,99.8602
-106.416118,50,99.936668
-105.725692,68,100.041765
-105.012197,139,100.254077
-114.121017,108,100.416156
-112.179756,180,100.698009
-104.871534,106,100.860644
-108.546874,209,101.177662
-109.069263,92,101.316009
-105.915259,94,101.458042
-105.935193,137,101.669985
-108.84413,164,101.914057
-136.815648,465,102.615424
-119.392568,433,103.256655
-147.197689,760,104.36752
-108.60204,342,104.871598
-104.863685,82,104.994017
-82.379444,1600,107.357024
-147.754921,879,108.670988
-110.374007,165,108.951003
-122.82056,450,109.637349
-144.887118,584,110.507216
-109.557766,135,110.716409
-115.249954,248,111.098067
-110.457572,190,111.380216
-107.091103,193,111.670708
-123.098051,393,112.24883
-136.341792,601,113.135859
-119.032791,169,113.387586
-179.906575,1414,115.476201
-107.46091,1600,117.850195
